Hospital,Average_Billing,Total_Billing,Patient_Count
Miranda-Mccormick,29307.170791504035,58614.34158300807,2
Miranda-Rodriguez,7490.066565550092,7490.066565550092,1
Miranda-Shelton,2198.8411148775385,2198.8411148775385,1
Miranda-Smith,23379.917554531447,23379.917554531447,1
Miranda-Todd,29460.15687915923,29460.15687915923,1
Miranda-Townsend,45149.05859510339,45149.05859510339,1
Miranda-White,23651.81362149274,23651.81362149274,1
"Mitchell Brown and Rice,",29993.379009176024,29993.379009176024,1
"Mitchell Chapman, Johnson and",9856.100766931228,9856.100766931228,1
"Mitchell Davis and Anderson,",24191.65404800477,24191.65404800477,1
"Mitchell Espinoza, and Campos",23956.42765744729,23956.42765744729,1
"Mitchell Fields, and Smith",26852.17182952798,26852.17182952798,1
"Mitchell Gordon, Caldwell and",13027.037956705495,13027.037956705495,1
Mitchell Group,36121.20132065129,180606.00660325645,5
"Mitchell Hansen, Bray and",15504.722230939033,15504.722230939033,1
Mitchell Inc,20381.452379855145,203814.52379855147,10
"Mitchell James Castro, and",4930.54411607752,4930.54411607752,1
"Mitchell Kirby and Bradley,",26851.610942965013,26851.610942965013,1
Mitchell LLC,17123.951685493077,68495.80674197231,4
Mitchell Ltd,25358.665396841974,152151.99238105185,6
"Mitchell Miller, Moore and",40341.680796387576,40341.680796387576,1
"Mitchell Murray Ramirez, and",22577.492233780664,22577.492233780664,1
"Mitchell Nelson and Romero,",41959.64093241112,41959.64093241112,1
"Mitchell Newton, Fisher and",38641.07590340152,38641.07590340152,1
Mitchell PLC,26484.012700002484,132420.06350001242,5
"Mitchell Phillips, Hernandez and",20010.557838875968,20010.557838875968,1
"Mitchell Russo, and Gould",44729.258379893785,44729.258379893785,1
"Mitchell Sanders, and Beasley",43000.47063041603,86000.94126083206,2
Mitchell Sons and,5542.288232411646,16626.864697234938,3
"Mitchell Stout, Rangel and",26738.93209833262,26738.93209833262,1
"Mitchell Velasquez Walsh, and",28344.660262959656,28344.660262959656,1
"Mitchell Watson, and Goodwin",21899.44128193416,43798.88256386832,2
"Mitchell and Davis, Banks",29803.362492171087,29803.362492171087,1
"Mitchell and Harris, Compton",35801.69733668053,35801.69733668053,1
Mitchell and Sons,9812.2451296249,39248.9805184996,4
"Mitchell, Adams and Graham",23524.319209254925,23524.319209254925,1
"Mitchell, Boyd Lopez and",45943.3006810702,45943.3006810702,1
"Mitchell, Carey Cole and",48432.03378677233,48432.03378677233,1
"Mitchell, Martinez Tanner and",26011.43146292577,52022.86292585154,2
"Mitchell, Rogers and Wilson",16037.33432739338,16037.33432739338,1
"Mitchell, Vasquez and Chaney",47735.38424265113,47735.38424265113,1
"Mitchell, Williams Nguyen and",26668.10123944948,53336.20247889896,2
"Mitchell, and Garcia Saunders",5919.300084398267,5919.300084398267,1
Mitchell-Armstrong,45133.644948082045,45133.644948082045,1
Mitchell-Barron,31792.38188264699,31792.38188264699,1
Mitchell-Berg,12367.31449714695,24734.6289942939,2
Mitchell-Brewer,16901.47843249331,16901.47843249331,1
Mitchell-Campbell,46950.91209603099,46950.91209603099,1
Mitchell-Chambers,41246.11811152162,41246.11811152162,1
Mitchell-Clark,28705.198036081965,28705.198036081965,1
Mitchell-Clayton,20189.500980406818,20189.500980406818,1
Mitchell-Cline,8495.552341992556,8495.552341992556,1
Mitchell-Cooper,18081.58888306653,18081.58888306653,1
Mitchell-Crawford,28106.50451044374,28106.50451044374,1
Mitchell-Cross,30449.52700156957,30449.52700156957,1
Mitchell-Duran,4995.920858220163,4995.920858220163,1
Mitchell-Durham,33165.37881974968,33165.37881974968,1
Mitchell-Ford,26816.19249421254,26816.19249421254,1
Mitchell-Garcia,22957.00336622798,22957.00336622798,1
Mitchell-Gibson,9757.404103159695,9757.404103159695,1
Mitchell-Gomez,44515.7879174445,44515.7879174445,1
Mitchell-Green,11814.757082253158,11814.757082253158,1
Mitchell-Hart,40021.83044365978,40021.83044365978,1
Mitchell-Hawkins,48824.19518480539,48824.19518480539,1
Mitchell-Hernandez,40375.45255470339,40375.45255470339,1
Mitchell-Hicks,45644.74699046579,45644.74699046579,1
Mitchell-Hoffman,26346.405141997977,26346.405141997977,1
Mitchell-Holt,18083.009548696267,36166.019097392535,2
Mitchell-Jackson,44807.60738931037,44807.60738931037,1
Mitchell-Jimenez,30376.2622575104,30376.2622575104,1
Mitchell-Johnson,49284.01988340672,49284.01988340672,1
Mitchell-Kelly,34890.618507078696,34890.618507078696,1
Mitchell-Lowery,42567.78228322963,85135.56456645926,2
Mitchell-Martinez,8034.417727839953,8034.417727839953,1
Mitchell-Matthews,4913.345109920187,4913.345109920187,1
Mitchell-Murphy,9596.094113438792,9596.094113438792,1
Mitchell-Navarro,19973.46292615957,19973.46292615957,1
Mitchell-Odonnell,7344.441993681745,7344.441993681745,1
Mitchell-Parker,49647.139653840844,49647.139653840844,1
Mitchell-Patterson,50194.5948699688,50194.5948699688,1
Mitchell-Pena,11532.271197875818,11532.271197875818,1
Mitchell-Pope,39002.81060037982,39002.81060037982,1
Mitchell-Rodriguez,46899.01010355057,46899.01010355057,1
Mitchell-Rogers,13007.88736491442,13007.88736491442,1
Mitchell-Rose,11592.781830826038,11592.781830826038,1
Mitchell-Ryan,10498.99478442596,10498.99478442596,1
Mitchell-Sharp,17640.556707539632,17640.556707539632,1
Mitchell-Smith,41548.96686938941,41548.96686938941,1
Mitchell-Snyder,12225.404359272974,24450.808718545948,2
Mitchell-Sullivan,15321.859048526429,30643.718097052857,2
Mitchell-Thomas,30074.08696770089,30074.08696770089,1
Mitchell-Townsend,13143.918872105029,13143.918872105029,1
Mitchell-Webb,34790.111570487854,34790.111570487854,1
Mitchell-Williams,9115.996687483324,9115.996687483324,1
Mitchell-Wilson,37866.36918680788,37866.36918680788,1
Mitchell-Wright,21057.647691809925,21057.647691809925,1
"Molina Butler and Cherry,",19773.419599684366,19773.419599684366,1
Molina Group,25117.880831426413,150707.28498855847,6
Molina LLC,11209.09589123914,11209.09589123914,1
"Molina Phillips, Santiago and",5005.853625490571,5005.853625490571,1
"Molina Reyes and White,",41633.13559015159,41633.13559015159,1
"Molina, Rogers and Horton",3915.2296180693297,3915.2296180693297,1
"Molina, and Gilbert Branch",6637.150818449728,6637.150818449728,1
Molina-Ayers,12708.155283428086,12708.155283428086,1
Molina-Bowman,31804.49207047776,31804.49207047776,1
Molina-Clark,38678.30719948298,38678.30719948298,1
Molina-Dunlap,5707.041108040978,5707.041108040978,1
Molina-Garcia,7438.020486412133,7438.020486412133,1
Molina-Green,2292.5361327314886,2292.5361327314886,1
Molina-Harvey,27054.30042599134,27054.30042599134,1
Molina-Hines,7948.38961190135,7948.38961190135,1
Molina-Hood,21508.342506278397,21508.342506278397,1
Molina-Jones,7343.587356087641,7343.587356087641,1
Molina-Moore,35331.48125390289,70662.96250780579,2
Molina-Phelps,5271.154491140647,10542.308982281294,2
Molina-Phillips,31579.597426857472,31579.597426857472,1
Molina-Taylor,2774.9924032475847,2774.9924032475847,1
Molina-Torres,30857.910322321484,30857.910322321484,1
"Monroe Fuller, Clay and",19136.325535820662,19136.325535820662,1
Monroe Inc,19110.527942165438,38221.055884330875,2
"Monroe Jones and Baker,",15215.800140800851,15215.800140800851,1
"Monroe Knapp and Myers,",2968.1954402282254,2968.1954402282254,1
Monroe LLC,8536.735533150339,8536.735533150339,1
"Monroe Long, Collins and",23558.27676699006,23558.27676699006,1
Monroe Ltd,42455.57010740574,42455.57010740574,1
"Monroe Mccoy Howard, and",16072.121057829325,16072.121057829325,1
Monroe PLC,32447.55744385524,32447.55744385524,1
Monroe Sons and,36017.777657015715,36017.777657015715,1
"Monroe and Duncan, Rodriguez",26778.81811818731,26778.81811818731,1
"Monroe, Harmon and Walter",16662.839112822378,33325.678225644755,2
"Monroe, Hernandez and Martinez",21734.30391350233,43468.60782700466,2
Monroe-George,16864.809975540604,16864.809975540604,1
Monroe-Johns,25836.128599286272,25836.128599286272,1
Monroe-Leon,2288.8124557207466,2288.8124557207466,1
Monroe-Martinez,35153.691302794155,35153.691302794155,1
Monroe-Mcclure,39518.504215285,79037.00843057,2
Monroe-Morris,37657.55181413199,37657.55181413199,1
Monroe-Richardson,20627.707070471693,20627.707070471693,1
Monroe-Stevens,12021.956109025568,12021.956109025568,1
"Montes Case and Mendez,",10602.077185418815,21204.15437083763,2
"Montes Graham, and Pearson",25284.44654324697,25284.44654324697,1
Montes Inc,18247.022260152346,18247.022260152346,1
Montes Ltd,17838.719100260867,53516.1573007826,3
"Montes Mata and Young,",23676.14753251123,23676.14753251123,1
"Montes, Medina and Wilson",36769.46788709695,73538.9357741939,2
"Montes, Vaughan and Bell",13664.784314398805,13664.784314398805,1
"Montes, Williams and Ferguson",28397.712655842613,56795.42531168523,2
Montes-Evans,12150.467209481098,12150.467209481098,1
Montes-Fitzgerald,21671.70318668513,21671.70318668513,1
Montes-Keith,32182.394933731823,32182.394933731823,1
Montes-Lee,35966.86872211576,35966.86872211576,1
Montes-Myers,9407.270802246105,9407.270802246105,1
Montes-Randolph,42144.58747705042,42144.58747705042,1
Montes-Terry,6363.910422355108,6363.910422355108,1
"Montgomery Cantu, Larson and",9013.830414227032,9013.830414227032,1
Montgomery Group,798.2963449840427,798.2963449840427,1
"Montgomery Harper Meyer, and",4970.638121621522,4970.638121621522,1
Montgomery Inc,28550.4940021439,28550.4940021439,1
Montgomery Ltd,13662.145068651022,13662.145068651022,1
"Montgomery Morales, Wagner and",30862.705113116783,30862.705113116783,1
"Montgomery Rangel, Simpson and",23398.85800714965,23398.85800714965,1
"Montgomery Spears, and Blackburn",45073.88155787962,45073.88155787962,1
"Montgomery Washington Glover, and",29279.786185765868,29279.786185765868,1
"Montgomery and Baldwin, Martinez",32254.441154988657,32254.441154988657,1
"Montgomery and Benitez, Benton",34244.32519279543,34244.32519279543,1
"Montgomery and Howe Perez,",41050.88700161482,82101.77400322964,2
"Montgomery and Morris Morgan,",39355.429582713376,39355.429582713376,1
"Montgomery and Velez Stein,",13154.006113693164,13154.006113693164,1
"Montgomery, Brown Coleman and",30863.44445268006,30863.44445268006,1
"Montgomery, and Fisher Parks",37457.30226978599,37457.30226978599,1
Montgomery-Alexander,18738.88528949509,18738.88528949509,1
Montgomery-Anthony,10710.325720833796,10710.325720833796,1
Montgomery-Atkinson,29592.32737248413,29592.32737248413,1
Montgomery-Bell,31026.22678719589,31026.22678719589,1
Montgomery-Charles,18639.486183106656,18639.486183106656,1
Montgomery-Davis,38003.68645936754,38003.68645936754,1
Montgomery-Drake,30029.50585909805,30029.50585909805,1
Montgomery-Dudley,31694.578194545826,31694.578194545826,1
Montgomery-Garza,10513.133887224569,10513.133887224569,1
Montgomery-Hale,7429.994622662979,7429.994622662979,1
Montgomery-Jimenez,12391.97307510052,24783.94615020104,2
Montgomery-Johnson,29752.950523460677,29752.950523460677,1
Montgomery-Jones,31063.556789556795,31063.556789556795,1
Montgomery-Kirby,39502.82732755455,39502.82732755455,1
Montgomery-Martin,32113.534777965404,64227.06955593081,2
Montgomery-Martinez,4040.136711511213,4040.136711511213,1
Montgomery-Smith,39303.964700757795,78607.92940151559,2
Montgomery-Sparks,46373.86431686943,46373.86431686943,1
Montgomery-Spears,38135.99417010266,38135.99417010266,1
Montgomery-Washington,26685.083861511197,26685.083861511197,1
"Montoya Hamilton, and Cordova",13937.35028253665,13937.35028253665,1
Montoya Inc,24375.560423088227,73126.68126926468,3
Montoya LLC,42300.60505433303,42300.60505433303,1
"Montoya Lyons, and Cole",16622.266173963675,16622.266173963675,1
"Montoya and Dixon, Love",6309.3916580485375,6309.3916580485375,1
"Montoya, and Lee Chen",34642.71377254192,34642.71377254192,1
Montoya-Bruce,17347.741545192337,34695.483090384674,2
Montoya-Cruz,24393.63654830834,73180.90964492502,3
Montoya-Gonzales,37916.01336202275,37916.01336202275,1
Montoya-Holland,12363.664077923411,12363.664077923411,1
Montoya-Kelly,46624.66188354388,93249.32376708776,2
Montoya-Smith,35778.49859527841,35778.49859527841,1
Montoya-Thomas,35225.39301043691,35225.39301043691,1
Montoya-Turner,12631.075517247004,12631.075517247004,1
"Moody Chavez and Jackson,",29417.132249104045,29417.132249104045,1
"Moody Fitzpatrick and Rasmussen,",1102.3492600222758,1102.3492600222758,1
Moody Inc,2890.282411250584,5780.564822501168,2
Moody LLC,47508.42405643882,47508.42405643882,1
Moody Ltd,22366.661084794127,22366.661084794127,1
Moody PLC,50068.81895123627,100137.63790247255,2
"Moody Richards Randall, and",26819.260725505123,26819.260725505123,1
Moody Sons and,39829.89727309084,79659.79454618169,2
"Moody and Smith Simpson,",10762.277916792864,10762.277916792864,1
Moody and Sons,20999.59479755449,20999.59479755449,1
"Moody, Johnson and Collins",6268.768844780515,6268.768844780515,1
"Moody, Shaw Powell and",39856.10818278662,39856.10818278662,1
"Moody, and Holland Kennedy",47136.17104493282,47136.17104493282,1
"Moody, and Moore Weber",36830.67873393262,36830.67873393262,1
"Moody, and Rice Scott",46787.08060289587,46787.08060289587,1
"Moody, and Richardson Miller",21720.672427911577,21720.672427911577,1
Moody-Carter,14087.313577087742,28174.627154175483,2
Moody-Chambers,16121.629145481558,32243.258290963116,2
Moody-Graham,6129.452376084581,6129.452376084581,1
Moody-Harris,11740.252200920298,11740.252200920298,1
Moody-Ingram,48363.65438546354,48363.65438546354,1
Moody-Johnston,25371.17932711451,25371.17932711451,1
Moody-Lee,30538.2044412614,30538.2044412614,1
Moody-Mcintyre,46638.540528118974,46638.540528118974,1
Moody-Reyes,32466.47867925722,64932.95735851444,2
Moody-Sawyer,39114.18108272943,39114.18108272943,1
Moody-Simmons,15283.626630642451,15283.626630642451,1
Moody-Smith,12754.750259193768,12754.750259193768,1
Moody-Solis,45386.67609225168,45386.67609225168,1
Moody-Stewart,37991.080936432285,37991.080936432285,1
Moody-Taylor,12248.844568581262,12248.844568581262,1
Moody-White,15118.772607988558,15118.772607988558,1
Moody-Wilson,48924.34135380505,48924.34135380505,1
Moon Inc,5297.672890361505,10595.34578072301,2
Moon LLC,20400.40656598383,40800.81313196766,2
Moon Ltd,11052.127380688877,11052.127380688877,1
"Moon and Gutierrez, Welch",45166.54941803787,45166.54941803787,1
"Moon and Sexton, Perry",19165.541173757825,19165.541173757825,1
"Moon and Williams Watts,",15435.274611625477,30870.549223250953,2
"Moon, Graham Caldwell and",11675.16861686611,11675.16861686611,1
Moon-Chang,6276.817840558635,6276.817840558635,1
Moon-Davis,27056.449320571795,27056.449320571795,1
Moon-Gallagher,3374.95573236784,3374.95573236784,1
Moon-Jensen,21620.340376423286,21620.340376423286,1
Moon-Johnson,45796.06220413093,45796.06220413093,1
Moon-Peterson,26858.766444211647,26858.766444211647,1
Moon-Sexton,18537.91275694743,18537.91275694743,1
Moon-Trujillo,43615.81332893437,43615.81332893437,1
Moon-Yates,35944.21303092495,35944.21303092495,1
"Mooney Hodges, Nichols and",42041.11708687436,42041.11708687436,1
"Mooney Jackson and Phillips,",26636.631997613626,26636.631997613626,1
"Mooney Sanchez Rodriguez, and",27476.72455017552,27476.72455017552,1
"Mooney Sanders, Stanley and",9105.601984592166,18211.20396918433,2
Mooney and Sons,19977.7863114164,19977.7863114164,1
"Mooney, Nolan Porter and",11767.39424784166,11767.39424784166,1
"Mooney, Watson Huff and",41105.53445846542,41105.53445846542,1
Mooney-Clark,3334.4815355070737,3334.4815355070737,1
Mooney-Fuller,23103.98136868556,23103.98136868556,1
Mooney-Jimenez,24883.444192378807,49766.888384757614,2
Mooney-Newman,3982.222527960559,7964.445055921118,2
Mooney-Scott,24583.653599322417,24583.653599322417,1
"Moore Anderson, Harrington and",30717.976187011413,30717.976187011413,1
"Moore Brown, and Stark",13633.156063532331,13633.156063532331,1
"Moore Burke, and Smith",33577.07611611384,33577.07611611384,1
"Moore Butler, Gordon and",37696.946507231,37696.946507231,1
"Moore Carney Hernandez, and",20701.269674632807,41402.539349265615,2
"Moore Cisneros Clark, and",15042.60853488169,15042.60853488169,1
"Moore Cooper, Wilson and",2436.5205899353414,2436.5205899353414,1
"Moore Crane and Jordan,",23197.77632587096,23197.77632587096,1
"Moore Fuller, Terry and",13372.643386971486,13372.643386971486,1
"Moore Green, Holland and",30669.29589418118,30669.29589418118,1
Moore Group,16562.941485124822,149066.4733661234,9
"Moore Hansen, and May",11882.285617992142,11882.285617992142,1
Moore Inc,27869.377973204428,362301.9136516576,13
"Moore Johnson and Davis,",41452.83176666278,41452.83176666278,1
Moore LLC,23971.320188692258,431483.7633964606,18
Moore Ltd,32788.13189388711,262305.0551510969,8
"Moore Mclaughlin Humphrey, and",16932.364019933862,16932.364019933862,1
"Moore Morris Martinez, and",20874.04302624624,20874.04302624624,1
"Moore Oneal, Miller and",7445.272315948724,7445.272315948724,1
Moore PLC,24360.575912726923,267966.33503999613,11
"Moore Park and Brown,",29567.68142216368,29567.68142216368,1
"Moore Perez and Burnett,",9892.09893764486,9892.09893764486,1
"Moore Reid, and Freeman",46845.00605534996,46845.00605534996,1
"Moore Richards, and Smith",14923.306523590143,14923.306523590143,1
"Moore Shields, Flores and",7261.584555367517,7261.584555367517,1
Moore Sons and,14912.103383528367,89472.6203011702,6
"Moore Strickland, and Williams",35454.92771620291,35454.92771620291,1
"Moore Terry Huynh, and",13447.507002518876,13447.507002518876,1
"Moore Watson Day, and",18145.242210942783,18145.242210942783,1
"Moore Young, Campbell and",48493.570857971696,48493.570857971696,1
"Moore and Atkins Benson,",24962.36519588553,49924.73039177106,2
"Moore and Beasley, Murray",28441.43661331592,28441.43661331592,1
"Moore and Frank Wolfe,",36621.902957115344,36621.902957115344,1
"Moore and Lang, Martinez",40648.84930823351,40648.84930823351,1
"Moore and Lara Jones,",11503.300993363911,11503.300993363911,1
"Moore and Lopez, Alvarado",6440.025120306684,6440.025120306684,1
"Moore and Martinez Walker,",27878.297584227825,55756.59516845565,2
"Moore and Martinez Watkins,",16024.173111187789,16024.173111187789,1
"Moore and Quinn Cooper,",32143.780734430755,32143.780734430755,1
"Moore and Rhodes Lang,",39547.38118934568,39547.38118934568,1
"Moore and Scott Cox,",13461.885274877312,13461.885274877312,1
"Moore and Smith Johnson,",13424.219014322827,13424.219014322827,1
Moore and Sons,29172.424104080244,87517.27231224073,3
"Moore and Vega Mcmillan,",37962.96304065995,37962.96304065995,1
"Moore and Williams Thomas,",10242.570232282878,10242.570232282878,1
"Moore and Williams, Lara",30569.85342044888,30569.85342044888,1
"Moore, Baker Thomas and",37088.90134391288,37088.90134391288,1
"Moore, Carr Kramer and",10255.507290194992,10255.507290194992,1
"Moore, Edwards and Carpenter",14340.36418397713,28680.72836795426,2
"Moore, Freeman and Myers",16720.823698213524,16720.823698213524,1
"Moore, Gallegos and Smith",14023.10187411348,14023.10187411348,1
"Moore, Jenkins and Bolton",32713.342494279063,32713.342494279063,1
"Moore, Johnson Robinson and",47501.089282992514,47501.089282992514,1
"Moore, Logan and Anderson",24615.162385728003,49230.324771456006,2
"Moore, Mendez Carter and",38267.89508097016,38267.89508097016,1
"Moore, Miller and Rodriguez",45664.027745337306,45664.027745337306,1
"Moore, Munoz and Dunlap",49701.856977794094,99403.71395558819,2
"Moore, Osborne Davis and",19181.05897552007,19181.05897552007,1
"Moore, Patrick and Cardenas",48560.74757239814,48560.74757239814,1
"Moore, Phillips and Glenn",33674.067362533824,33674.067362533824,1
"Moore, Preston Ortiz and",9325.986486945743,18651.972973891487,2
"Moore, Rivers and Green",37202.74561991331,37202.74561991331,1
"Moore, Smith Duncan and",12528.37815806718,12528.37815806718,1
"Moore, Walker Dominguez and",17078.697774398126,17078.697774398126,1
"Moore, White and Gomez",44304.49007254416,88608.98014508832,2
"Moore, White and West",14528.295262473006,14528.295262473006,1
"Moore, and Austin Dennis",5713.490186469988,5713.490186469988,1
"Moore, and Beasley Daniel",39966.74845024441,39966.74845024441,1
"Moore, and Fuller Bailey",24058.27519729459,24058.27519729459,1
"Moore, and Lewis Ortiz",39033.73018672221,78067.46037344442,2
"Moore, and Mahoney Martin",36561.977693544126,36561.977693544126,1
"Moore, and Moss Mcmillan",22482.21313071048,44964.42626142096,2
"Moore, and Richardson Hanson",19192.156685570917,19192.156685570917,1
"Moore, and Robinson Vang",45213.13552096588,45213.13552096588,1
"Moore, and Sampson Willis",17736.695407726926,17736.695407726926,1
Moore-Acosta,42423.59958029051,42423.59958029051,1
Moore-Allen,14424.55405117553,14424.55405117553,1
Moore-Anthony,40127.00754457624,40127.00754457624,1
Moore-Arias,1538.3943165504872,1538.3943165504872,1
Moore-Bailey,6183.114481845857,6183.114481845857,1
Moore-Barnes,48460.907399043725,48460.907399043725,1
Moore-Bowen,18139.25477703869,18139.25477703869,1
Moore-Brady,4137.606733074149,4137.606733074149,1
Moore-Brewer,29330.124536901432,29330.124536901432,1
Moore-Brown,17523.59132711801,17523.59132711801,1
Moore-Buck,19532.693637232,19532.693637232,1
Moore-Butler,44396.72720765065,44396.72720765065,1
Moore-Calderon,12855.897011218163,12855.897011218163,1
Moore-Casey,15998.302117669647,15998.302117669647,1
Moore-Castillo,43625.386284016575,43625.386284016575,1
Moore-Castro,1124.2838499901773,1124.2838499901773,1
Moore-Choi,43485.74155171524,86971.48310343048,2
Moore-Cook,40112.58001892144,40112.58001892144,1
Moore-Cox,4320.818480042828,8641.636960085656,2
Moore-Crawford,28549.34137177117,28549.34137177117,1
Moore-Davis,3003.415545866648,3003.415545866648,1
Moore-Dean,31227.661231310343,31227.661231310343,1
Moore-Donaldson,2363.2303745437143,2363.2303745437143,1
Moore-Durham,35178.958059191566,35178.958059191566,1
Moore-Edwards,30110.36975308798,30110.36975308798,1
Moore-Ellis,21883.540502897413,21883.540502897413,1
Moore-Erickson,44970.096139836016,44970.096139836016,1
Moore-Esparza,6150.965108205426,6150.965108205426,1
Moore-Evans,36306.96532088226,36306.96532088226,1
Moore-Farmer,26926.215957260643,53852.43191452129,2
Moore-Fields,12506.452574973551,12506.452574973551,1
Moore-Fisher,32081.684461936093,32081.684461936093,1
Moore-Fleming,43451.2689515823,86902.5379031646,2
Moore-Flowers,28500.362518625327,28500.362518625327,1
Moore-Foley,23786.6444035388,23786.6444035388,1
Moore-Francis,21269.367058493783,21269.367058493783,1
Moore-Franco,11304.002577233756,11304.002577233756,1
Moore-Freeman,30631.134720562877,30631.134720562877,1
Moore-Gamble,39653.55374566756,39653.55374566756,1
Moore-Goodwin,18328.53369131176,18328.53369131176,1
Moore-Graham,13364.297173026793,13364.297173026793,1
Moore-Gray,17172.11599470738,34344.23198941476,2
Moore-Hale,20059.44763471959,20059.44763471959,1
Moore-Hall,3128.6041400968707,3128.6041400968707,1
Moore-Harrell,41168.233014227255,41168.233014227255,1
Moore-Harris,16827.82216324748,33655.64432649496,2
Moore-Hughes,28453.650025680057,56907.300051360115,2
Moore-Jackson,6285.031009664499,6285.031009664499,1
Moore-Jimenez,40709.65965023892,81419.31930047784,2
Moore-Johnson,32043.05583518808,96129.16750556424,3
Moore-Keller,26708.81197422782,26708.81197422782,1
Moore-Kelly,42207.97198029816,42207.97198029816,1
Moore-King,12901.139324509675,12901.139324509675,1
Moore-Lane,30395.020367144985,30395.020367144985,1
Moore-Lee,29392.75946518729,29392.75946518729,1
Moore-Lewis,17248.23014702139,17248.23014702139,1
Moore-Long,3385.61138711834,3385.61138711834,1
Moore-Lopez,23521.72777516888,23521.72777516888,1
Moore-Lyons,42526.38437112278,42526.38437112278,1
Moore-Maldonado,1394.4205884965097,1394.4205884965097,1
Moore-Martin,25156.453309303382,25156.453309303382,1
Moore-Martinez,4938.099510797931,4938.099510797931,1
Moore-Mcconnell,30377.22891184897,30377.22891184897,1
Moore-Mcdaniel,1983.5682967188225,3967.136593437645,2
Moore-Mckinney,33342.0924020866,33342.0924020866,1
Moore-Mitchell,11027.262236037755,11027.262236037755,1
Moore-Montgomery,39730.83320646964,39730.83320646964,1
Moore-Moore,6037.928828721895,6037.928828721895,1
Moore-Morales,41384.1134890976,41384.1134890976,1
Moore-Morris,48592.32987739977,48592.32987739977,1
Moore-Murphy,37622.300418264706,75244.60083652941,2
Moore-Myers,37669.689103144,37669.689103144,1
Moore-Orr,27479.88664519949,27479.88664519949,1
Moore-Patton,36392.60804763647,36392.60804763647,1
Moore-Peters,34017.497364073984,34017.497364073984,1
Moore-Pierce,33653.654883162475,33653.654883162475,1
Moore-Pineda,30752.21041346768,30752.21041346768,1
Moore-Ramos,21984.71629799726,21984.71629799726,1
Moore-Reeves,33976.118490853514,33976.118490853514,1
Moore-Richards,10864.175989035886,21728.351978071772,2
Moore-Robbins,35570.07655709629,35570.07655709629,1
Moore-Rocha,2072.3196406667207,2072.3196406667207,1
Moore-Rodriguez,10417.220817455922,20834.441634911844,2
Moore-Rose,31627.817942346563,31627.817942346563,1
Moore-Sanchez,36306.76540422744,36306.76540422744,1
Moore-Sanders,28954.26139161208,57908.52278322416,2
Moore-Scott,12622.895568110653,12622.895568110653,1
Moore-Shepard,15490.422669738671,30980.845339477342,2
Moore-Smith,17767.715663173498,35535.431326346996,2
Moore-Stevenson,48375.085132894776,48375.085132894776,1
Moore-Sullivan,43299.08017793373,43299.08017793373,1
Moore-Taylor,20198.74273783505,20198.74273783505,1
Moore-Thompson,33239.76711249241,33239.76711249241,1
Moore-Torres,29032.14124588613,29032.14124588613,1
Moore-Vasquez,45342.004069775896,45342.004069775896,1
Moore-Velazquez,18721.1788176194,18721.1788176194,1
Moore-Walker,33053.680009196556,66107.36001839311,2
Moore-Wang,25387.93754162532,25387.93754162532,1
Moore-Waters,14371.539698666104,14371.539698666104,1
Moore-Weiss,42205.7988749173,42205.7988749173,1
Moore-Wilkinson,33295.74753758291,33295.74753758291,1
Moore-Williams,19150.64903250474,19150.64903250474,1
Moore-Willis,49538.15154791692,49538.15154791692,1
Moore-Wood,30923.452141300277,30923.452141300277,1
Moore-Woods,7732.672264734952,7732.672264734952,1
"Mora Duke, and Rivera",12771.281610430437,12771.281610430437,1
"Mora Harding and Austin,",3480.513669325288,3480.513669325288,1
Mora Inc,25425.762136958,25425.762136958,1
"Mora Lawson and Haynes,",49139.0801611908,98278.1603223816,2
Mora PLC,38076.603189252775,38076.603189252775,1
"Mora Thomas, Santos and",9893.107226947235,9893.107226947235,1
"Mora, Cox Hall and",49943.134154680425,49943.134154680425,1
"Mora, and Hatfield Koch",48018.43062534994,48018.43062534994,1
Mora-Harris,16188.545263593252,16188.545263593252,1
Mora-Hurley,1809.7493199669104,1809.7493199669104,1
Mora-Merritt,21205.2178417078,21205.2178417078,1
Mora-Rose,23758.33576402954,47516.67152805908,2
Mora-Shaw,46303.07187627076,46303.07187627076,1
"Morales Castro and Rodriguez,",41607.30558569613,41607.30558569613,1
Morales Group,22066.8892201141,176535.1137609128,8
"Morales Hill, Collins and",22550.79867908614,22550.79867908614,1
"Morales Johnson and Mcdonald,",25632.313879963585,25632.313879963585,1
Morales LLC,17801.697321680163,53405.09196504049,3
"Morales Lewis, Robinson and",42909.63694107719,42909.63694107719,1
Morales Ltd,26611.011235343,133055.056176715,5
"Morales Martin and Petty,",41941.509851771705,41941.509851771705,1
Morales PLC,16814.855786250908,50444.56735875272,3
"Morales Sanders Burke, and",31142.599003080573,31142.599003080573,1
Morales Sons and,23612.7744095154,23612.7744095154,1
"Morales and Kirby, Hill",3630.5720372104047,3630.5720372104047,1
"Morales and Mathis Davis,",14372.684942201782,14372.684942201782,1
"Morales and Perez Wilson,",3288.205124854549,6576.410249709098,2
"Morales and Reid, Mcmillan",31347.84709298437,31347.84709298437,1
"Morales and Shannon Ball,",9497.274062085056,9497.274062085056,1
"Morales and Simpson Oconnell,",42577.36300704463,42577.36300704463,1
"Morales and Singleton Crane,",24389.430663161987,24389.430663161987,1
Morales and Sons,47210.31240727506,94420.62481455012,2
